section,text,clean_text,tokens,tokens_nostop
Introduction,The Life and Health Sciences Research Institute (ICVS) was established in 2003 to develop biomedical research within the School of Medicine of the University of Minho.,the life and health sciences research institute icvs was established in to develop biomedical research within the school of medicine of the university of minho,"['the', 'life', 'and', 'health', 'science', 'research', 'institute', 'icvs', 'wa', 'established', 'develop', 'biomedical', 'research', 'within', 'the', 'school', 'medicine', 'the', 'university', 'minho']","['life', 'health', 'science', 'research', 'institute', 'icvs', 'wa', 'established', 'develop', 'biomedical', 'research', 'within', 'school', 'medicine', 'university', 'minho']"
Introduction,"Currently, the ICVS is a multidisciplinary unit that brings together scientists, engineers and clinicians in a unique scientific and technological environment encased within over 6000 m2, benefiting from research expertise in different fields such as bioimaging, cell and molecular biology, deep learning and computer science, electrophysiology, epidemiology and statistics, structural and functional MRI analysis, medical electronics, microbiology with ABSL2/3 facilities, regenerative medicine, motor and cognitive animal behavior, oncobiology and surgical endoscopy. Our knowledge encompasses the complete R&D pipeline: from in vitro research to animal models, drug discovery and pre-clinical validation, to clinical trials, and finally to reach the market as innovative medical solutions.",currently the icvs is a multidisciplinary unit that brings together scientists engineers and clinicians in a unique scientific and technological environment encased within over m benefiting from research expertise in different fields such as bioimaging cell and molecular biology deep learning and computer science electrophysiology epidemiology and statistics structural and functional mri analysis medical electronics microbiology with absl facilities regenerative medicine motor and cognitive animal behavior oncobiology and surgical endoscopy our knowledge encompasses the complete rd pipeline from in vitro research to animal models drug discovery and preclinical validation to clinical trials and finally to reach the market as innovative medical solutions,"['currently', 'the', 'icvs', 'multidisciplinary', 'unit', 'that', 'brings', 'together', 'scientist', 'engineer', 'and', 'clinician', 'unique', 'scientific', 'and', 'technological', 'environment', 'encased', 'within', 'over', 'benefiting', 'from', 'research', 'expertise', 'different', 'field', 'such', 'bioimaging', 'cell', 'and', 'molecular', 'biology', 'deep', 'learning', 'and', 'computer', 'science', 'electrophysiology', 'epidemiology', 'and', 'statistic', 'structural', 'and', 'functional', 'mri', 'analysis', 'medical', 'electronics', 'microbiology', 'with', 'absl', 'facility', 'regenerative', 'medicine', 'motor', 'and', 'cognitive', 'animal', 'behavior', 'oncobiology', 'and', 'surgical', 'endoscopy', 'our', 'knowledge', 'encompasses', 'the', 'complete', 'pipeline', 'from', 'vitro', 'research', 'animal', 'model', 'drug', 'discovery', 'and', 'preclinical', 'validation', 'clinical', 'trial', 'and', 'finally', 'reach', 'the', 'market', 'innovative', 'medical', 'solution']","['currently', 'icvs', 'multidisciplinary', 'unit', 'brings', 'together', 'scientist', 'engineer', 'clinician', 'unique', 'scientific', 'technological', 'environment', 'encased', 'within', 'benefiting', 'research', 'expertise', 'different', 'field', 'bioimaging', 'cell', 'molecular', 'biology', 'deep', 'learning', 'computer', 'science', 'electrophysiology', 'epidemiology', 'statistic', 'structural', 'functional', 'mri', 'analysis', 'medical', 'electronics', 'microbiology', 'absl', 'facility', 'regenerative', 'medicine', 'motor', 'cognitive', 'animal', 'behavior', 'oncobiology', 'surgical', 'endoscopy', 'knowledge', 'encompasses', 'complete', 'pipeline', 'vitro', 'research', 'animal', 'model', 'drug', 'discovery', 'preclinical', 'validation', 'clinical', 'trial', 'finally', 'reach', 'market', 'innovative', 'medical', 'solution']"
Introduction,"Over the last decade, the ICVS has developed synergies with several partners with complementary expertise, namely the 3B’s Research Group ensuing the establishment of the PT Government ICVS/3B’s- Associate Laboratory, local healthcare providers and the Clinical Academic Centre – Braga Association (2CA-Braga), devoted to performing clinical research. The ICVS is also integrated several national research infrastructures, among which PT-OPEN and EATRIS.PT, for drug discovery and development.",over the last decade the icvs has developed synergies with several partners with complementary expertise namely the bs research group ensuing the establishment of the pt government icvsbs associate laboratory local healthcare providers and the clinical academic centre braga association cabraga devoted to performing clinical research the icvs is also integrated several national research infrastructures among which ptopen and eatrispt for drug discovery and development,"['over', 'the', 'last', 'decade', 'the', 'icvs', 'ha', 'developed', 'synergy', 'with', 'several', 'partner', 'with', 'complementary', 'expertise', 'namely', 'the', 'research', 'group', 'ensuing', 'the', 'establishment', 'the', 'government', 'icvsbs', 'associate', 'laboratory', 'local', 'healthcare', 'provider', 'and', 'the', 'clinical', 'academic', 'centre', 'braga', 'association', 'cabraga', 'devoted', 'performing', 'clinical', 'research', 'the', 'icvs', 'also', 'integrated', 'several', 'national', 'research', 'infrastructure', 'among', 'which', 'ptopen', 'and', 'eatrispt', 'for', 'drug', 'discovery', 'and', 'development']","['last', 'decade', 'icvs', 'ha', 'developed', 'synergy', 'several', 'partner', 'complementary', 'expertise', 'namely', 'research', 'group', 'ensuing', 'establishment', 'government', 'icvsbs', 'associate', 'laboratory', 'local', 'healthcare', 'provider', 'clinical', 'academic', 'centre', 'braga', 'association', 'cabraga', 'devoted', 'performing', 'clinical', 'research', 'icvs', 'also', 'integrated', 'several', 'national', 'research', 'infrastructure', 'among', 'ptopen', 'eatrispt', 'drug', 'discovery', 'development']"
Introduction,"The ICVS develops projects in national and international consortia, providing experience and training to young researchers, welcomes foreign students and researchers, and launches initiatives to foster international institutional collaborations, such as those established with the International Iberian Nanotechnology Laboratory (INL), the Centro de Investigacións Biomédicas (CINBIO) and the Radboud University.",the icvs develops projects in national and international consortia providing experience and training to young researchers welcomes foreign students and researchers and launches initiatives to foster international institutional collaborations such as those established with the international iberian nanotechnology laboratory inl the centro de investigacins biomdicas cinbio and the radboud university,"['the', 'icvs', 'develops', 'project', 'national', 'and', 'international', 'consortium', 'providing', 'experience', 'and', 'training', 'young', 'researcher', 'welcome', 'foreign', 'student', 'and', 'researcher', 'and', 'launch', 'initiative', 'foster', 'international', 'institutional', 'collaboration', 'such', 'those', 'established', 'with', 'the', 'international', 'iberian', 'nanotechnology', 'laboratory', 'inl', 'the', 'centro', 'investigacins', 'biomdicas', 'cinbio', 'and', 'the', 'radboud', 'university']","['icvs', 'develops', 'project', 'national', 'international', 'consortium', 'providing', 'experience', 'training', 'young', 'researcher', 'welcome', 'foreign', 'student', 'researcher', 'launch', 'initiative', 'foster', 'international', 'institutional', 'collaboration', 'established', 'international', 'iberian', 'nanotechnology', 'laboratory', 'inl', 'centro', 'investigacins', 'biomdicas', 'cinbio', 'radboud', 'university']"
Introduction,"Along with its several Spin-offs, the ICVS aims to contribute as a key stakeholder for the upholding of a competitive Cluster in Biomedical Science, Technology and Healthcare, steered by the School of Medicine, including the 2CA-Braga, the Digital Medicine center P5, and the knowledge transfer structure B.ACIS. Aligned with this vision, the ICVS aspires to boost its complete research pipeline to create scientific knowledge and value, producing Research Outputs that improve Clinical Outcomes.",along with its several spinoffs the icvs aims to contribute as a key stakeholder for the upholding of a competitive cluster in biomedical science technology and healthcare steered by the school of medicine including the cabraga the digital medicine center p and the knowledge transfer structure bacis aligned with this vision the icvs aspires to boost its complete research pipeline to create scientific knowledge and value producing research outputs that improve clinical outcomes,"['along', 'with', 'it', 'several', 'spinoffs', 'the', 'icvs', 'aim', 'contribute', 'key', 'stakeholder', 'for', 'the', 'upholding', 'competitive', 'cluster', 'biomedical', 'science', 'technology', 'and', 'healthcare', 'steered', 'the', 'school', 'medicine', 'including', 'the', 'cabraga', 'the', 'digital', 'medicine', 'center', 'and', 'the', 'knowledge', 'transfer', 'structure', 'bacis', 'aligned', 'with', 'this', 'vision', 'the', 'icvs', 'aspires', 'boost', 'it', 'complete', 'research', 'pipeline', 'create', 'scientific', 'knowledge', 'and', 'value', 'producing', 'research', 'output', 'that', 'improve', 'clinical', 'outcome']","['along', 'several', 'spinoffs', 'icvs', 'aim', 'contribute', 'key', 'stakeholder', 'upholding', 'competitive', 'cluster', 'biomedical', 'science', 'technology', 'healthcare', 'steered', 'school', 'medicine', 'including', 'cabraga', 'digital', 'medicine', 'center', 'knowledge', 'transfer', 'structure', 'bacis', 'aligned', 'vision', 'icvs', 'aspires', 'boost', 'complete', 'research', 'pipeline', 'create', 'scientific', 'knowledge', 'value', 'producing', 'research', 'output', 'improve', 'clinical', 'outcome']"
Governance,"The ICVS is a subunit of the School of Medicine (EMED), and as such it is governed by the Presidency of the School of Medicine, the Scientific Council of the School of Medicine and the School Council.",the icvs is a subunit of the school of medicine emed and as such it is governed by the presidency of the school of medicine the scientific council of the school of medicine and the school council,"['the', 'icvs', 'subunit', 'the', 'school', 'medicine', 'emed', 'and', 'such', 'governed', 'the', 'presidency', 'the', 'school', 'medicine', 'the', 'scientific', 'council', 'the', 'school', 'medicine', 'and', 'the', 'school', 'council']","['icvs', 'subunit', 'school', 'medicine', 'emed', 'governed', 'presidency', 'school', 'medicine', 'scientific', 'council', 'school', 'medicine', 'school', 'council']"
Governance,"The ICVS has its own governing bodies, according to the rules for research units integrated in the National System of Science and Technology. The Direction of the ICVS is the collegial body representative of the ICVS and responsible for its overall management and coordination. It has the following composition:",the icvs has its own governing bodies according to the rules for research units integrated in the national system of science and technology the direction of the icvs is the collegial body representative of the icvs and responsible for its overall management and coordination it has the following composition,"['the', 'icvs', 'ha', 'it', 'own', 'governing', 'body', 'according', 'the', 'rule', 'for', 'research', 'unit', 'integrated', 'the', 'national', 'system', 'science', 'and', 'technology', 'the', 'direction', 'the', 'icvs', 'the', 'collegial', 'body', 'representative', 'the', 'icvs', 'and', 'responsible', 'for', 'it', 'overall', 'management', 'and', 'coordination', 'ha', 'the', 'following', 'composition']","['icvs', 'ha', 'governing', 'body', 'according', 'rule', 'research', 'unit', 'integrated', 'national', 'system', 'science', 'technology', 'direction', 'icvs', 'collegial', 'body', 'representative', 'icvs', 'responsible', 'overall', 'management', 'coordination', 'ha', 'following', 'composition']"
Governance,"The Directive Board is composed by the Direction members, the Vice-President for Research of the School of Medicine (António Salgado) and the elected representative among the team leaders (Luísa Pinto).",the directive board is composed by the direction members the vicepresident for research of the school of medicine antnio salgado and the elected representative among the team leaders lusa pinto,"['the', 'directive', 'board', 'composed', 'the', 'direction', 'member', 'the', 'vicepresident', 'for', 'research', 'the', 'school', 'medicine', 'antnio', 'salgado', 'and', 'the', 'elected', 'representative', 'among', 'the', 'team', 'leader', 'lusa', 'pinto']","['directive', 'board', 'composed', 'direction', 'member', 'vicepresident', 'research', 'school', 'medicine', 'antnio', 'salgado', 'elected', 'representative', 'among', 'team', 'leader', 'lusa', 'pinto']"
Governance,The ICVS Directive board is supported by two consultive organs: the Scientific Council of the ICVS constituted by all PhD researchers and by the coordinating committee of team leaders.,the icvs directive board is supported by two consultive organs the scientific council of the icvs constituted by all phd researchers and by the coordinating committee of team leaders,"['the', 'icvs', 'directive', 'board', 'supported', 'two', 'consultive', 'organ', 'the', 'scientific', 'council', 'the', 'icvs', 'constituted', 'all', 'phd', 'researcher', 'and', 'the', 'coordinating', 'committee', 'team', 'leader']","['icvs', 'directive', 'board', 'supported', 'two', 'consultive', 'organ', 'scientific', 'council', 'icvs', 'constituted', 'phd', 'researcher', 'coordinating', 'committee', 'team', 'leader']"
Scientific Organization,"The ICVS is organized into 14 thematic research teams, aggregating research projects and human resources, with specific objectives and strategies, and led by a team coordinator.",the icvs is organized into thematic research teams aggregating research projects and human resources with specific objectives and strategies and led by a team coordinator,"['the', 'icvs', 'organized', 'into', 'thematic', 'research', 'team', 'aggregating', 'research', 'project', 'and', 'human', 'resource', 'with', 'specific', 'objective', 'and', 'strategy', 'and', 'led', 'team', 'coordinator']","['icvs', 'organized', 'thematic', 'research', 'team', 'aggregating', 'research', 'project', 'human', 'resource', 'specific', 'objective', 'strategy', 'led', 'team', 'coordinator']"
Scientific Organization,Brain Circuits and Neuron-glia Adaptations (C2B) Cancer Biomarkers and Therapeutics (BiTCancer) Immunobiology of Inflammatory and Infectious Diseases (i3D) Inflammation at the nervous system interfaces (INSI) Inflammation Cell Signaling and Therapeutics (InflammaSignal) Lifelong learning and assessment in Health Professions (LearnAssess) Mechanisms of Memory and Alzheimer’s Disease Pathogenesis (MemAD) Neurobiology of Pain (NoPain) Novel Approaches in Nervous System Regenerative Medicine (ReNEU) Pathogen Evolutionary Genomics and Experimental Genetics (PEvoGEN) Population Health Assessment (PHAS) Stress and Compulsivity from Brain to Mental Health (Stress.com) Surgical Sciences & Allied Technologies (SSAT) Translational Neurogenetics (TransNEU),brain circuits and neuronglia adaptations cb cancer biomarkers and therapeutics bitcancer immunobiology of inflammatory and infectious diseases id inflammation at the nervous system interfaces insi inflammation cell signaling and therapeutics inflammasignal lifelong learning and assessment in health professions learnassess mechanisms of memory and alzheimers disease pathogenesis memad neurobiology of pain nopain novel approaches in nervous system regenerative medicine reneu pathogen evolutionary genomics and experimental genetics pevogen population health assessment phas stress and compulsivity from brain to mental health stresscom surgical sciences allied technologies ssat translational neurogenetics transneu,"['brain', 'circuit', 'and', 'neuronglia', 'adaptation', 'cancer', 'biomarkers', 'and', 'therapeutic', 'bitcancer', 'immunobiology', 'inflammatory', 'and', 'infectious', 'disease', 'inflammation', 'the', 'nervous', 'system', 'interface', 'insi', 'inflammation', 'cell', 'signaling', 'and', 'therapeutic', 'inflammasignal', 'lifelong', 'learning', 'and', 'assessment', 'health', 'profession', 'learnassess', 'mechanism', 'memory', 'and', 'alzheimers', 'disease', 'pathogenesis', 'memad', 'neurobiology', 'pain', 'nopain', 'novel', 'approach', 'nervous', 'system', 'regenerative', 'medicine', 'reneu', 'pathogen', 'evolutionary', 'genomics', 'and', 'experimental', 'genetics', 'pevogen', 'population', 'health', 'assessment', 'phas', 'stress', 'and', 'compulsivity', 'from', 'brain', 'mental', 'health', 'stresscom', 'surgical', 'science', 'allied', 'technology', 'ssat', 'translational', 'neurogenetics', 'transneu']","['brain', 'circuit', 'neuronglia', 'adaptation', 'cancer', 'biomarkers', 'therapeutic', 'bitcancer', 'immunobiology', 'inflammatory', 'infectious', 'disease', 'inflammation', 'nervous', 'system', 'interface', 'insi', 'inflammation', 'cell', 'signaling', 'therapeutic', 'inflammasignal', 'lifelong', 'learning', 'assessment', 'health', 'profession', 'learnassess', 'mechanism', 'memory', 'alzheimers', 'disease', 'pathogenesis', 'memad', 'neurobiology', 'pain', 'nopain', 'novel', 'approach', 'nervous', 'system', 'regenerative', 'medicine', 'reneu', 'pathogen', 'evolutionary', 'genomics', 'experimental', 'genetics', 'pevogen', 'population', 'health', 'assessment', 'phas', 'stress', 'compulsivity', 'brain', 'mental', 'health', 'stresscom', 'surgical', 'science', 'allied', 'technology', 'ssat', 'translational', 'neurogenetics', 'transneu']"
Facilities and Scientific Platforms,"In ICVS, all wet laboratory space is housed together in expansive shared open space, rather than each team having its own separate rooms. This organizational decision was made to accommodate each research team's oneness within the overall space, yet fostering a collaborative spirit, inter-group interactions, and sharing standard lab equipment and access to core and shared central facilities.",in icvs all wet laboratory space is housed together in expansive shared open space rather than each team having its own separate rooms this organizational decision was made to accommodate each research teams oneness within the overall space yet fostering a collaborative spirit intergroup interactions and sharing standard lab equipment and access to core and shared central facilities,"['icvs', 'all', 'wet', 'laboratory', 'space', 'housed', 'together', 'expansive', 'shared', 'open', 'space', 'rather', 'than', 'each', 'team', 'having', 'it', 'own', 'separate', 'room', 'this', 'organizational', 'decision', 'wa', 'made', 'accommodate', 'each', 'research', 'team', 'oneness', 'within', 'the', 'overall', 'space', 'yet', 'fostering', 'collaborative', 'spirit', 'intergroup', 'interaction', 'and', 'sharing', 'standard', 'lab', 'equipment', 'and', 'access', 'core', 'and', 'shared', 'central', 'facility']","['icvs', 'wet', 'laboratory', 'space', 'housed', 'together', 'expansive', 'shared', 'open', 'space', 'rather', 'team', 'separate', 'room', 'organizational', 'decision', 'wa', 'made', 'accommodate', 'research', 'team', 'oneness', 'within', 'overall', 'space', 'yet', 'fostering', 'collaborative', 'spirit', 'intergroup', 'interaction', 'sharing', 'standard', 'lab', 'equipment', 'access', 'core', 'shared', 'central', 'facility']"
Facilities and Scientific Platforms,Booking of equipment or internal services at ICVS is done through the Agendo platform and/or coordinated directly with the staff (please refer to section 11.4 for further details).,booking of equipment or internal services at icvs is done through the agendo platform andor coordinated directly with the staff please refer to section for further details,"['booking', 'equipment', 'internal', 'service', 'icvs', 'done', 'through', 'the', 'agendo', 'platform', 'andor', 'coordinated', 'directly', 'with', 'the', 'staff', 'please', 'refer', 'section', 'for', 'further', 'detail']","['booking', 'equipment', 'internal', 'service', 'icvs', 'done', 'agendo', 'platform', 'andor', 'coordinated', 'directly', 'staff', 'please', 'refer', 'section', 'detail']"
Facilities and Scientific Platforms,The ICVS core facilities include:,the icvs core facilities include,"['the', 'icvs', 'core', 'facility', 'include']","['icvs', 'core', 'facility', 'include']"
Facilities and Scientific Platforms,Animal facility (1100 m2 with housing space of 2600 rodent cages and an extensive list of equipment for behavior characterization in rodents and small animal surgery) including BSL2/3,animal facility m with housing space of rodent cages and an extensive list of equipment for behavior characterization in rodents and small animal surgery including bsl,"['animal', 'facility', 'with', 'housing', 'space', 'rodent', 'cage', 'and', 'extensive', 'list', 'equipment', 'for', 'behavior', 'characterization', 'rodent', 'and', 'small', 'animal', 'surgery', 'including', 'bsl']","['animal', 'facility', 'housing', 'space', 'rodent', 'cage', 'extensive', 'list', 'equipment', 'behavior', 'characterization', 'rodent', 'small', 'animal', 'surgery', 'including', 'bsl']"
Facilities and Scientific Platforms,"Microscopy facility (Optical, Confocal, 2-photon, Stereology)",microscopy facility optical confocal photon stereology,"['microscopy', 'facility', 'optical', 'confocal', 'photon', 'stereology']","['microscopy', 'facility', 'optical', 'confocal', 'photon', 'stereology']"
High Throughput facility,Experimental Surgery - Endoscopy facility,experimental surgery endoscopy facility,"['experimental', 'surgery', 'endoscopy', 'facility']","['experimental', 'surgery', 'endoscopy', 'facility']"
High Throughput facility,Researchers at ICVS also benefit from the following shared facilities/equipment:,researchers at icvs also benefit from the following shared facilitiesequipment,"['researcher', 'icvs', 'also', 'benefit', 'from', 'the', 'following', 'shared', 'facilitiesequipment']","['researcher', 'icvs', 'also', 'benefit', 'following', 'shared', 'facilitiesequipment']"
Cell and Tissue Culture rooms on each floor,"Electrophysiology rooms (in vivo and ex vivo recordings of neuronal activity) Biosafety Levels 2 and 3 facilities Chromatography, mass spectrometry (TQMS)",electrophysiology rooms in vivo and ex vivo recordings of neuronal activity biosafety levels and facilities chromatography mass spectrometry tqms,"['electrophysiology', 'room', 'vivo', 'and', 'vivo', 'recording', 'neuronal', 'activity', 'biosafety', 'level', 'and', 'facility', 'chromatography', 'mass', 'spectrometry', 'tqms']","['electrophysiology', 'room', 'vivo', 'vivo', 'recording', 'neuronal', 'activity', 'biosafety', 'level', 'facility', 'chromatography', 'mass', 'spectrometry', 'tqms']"
Chromium single cell barcoding system and a Bioanalyzer,C. elegans facility,c elegans facility,"['elegans', 'facility']","['elegans', 'facility']"
Administrative and Technical Units,"Behind every research project is a support structure that keeps things running smoothly. In this sense, researchers can rely on the services provided by the Administrative Unit of the ICVS (UA-ICVS), which include administrative procedures and technical advice, in direct interaction with UMinho central services. These interactions typically involve Financial Project Management, Human Resources, Scientific Outputs, Pre-award Office and Communication & Internationalization Unit.",behind every research project is a support structure that keeps things running smoothly in this sense researchers can rely on the services provided by the administrative unit of the icvs uaicvs which include administrative procedures and technical advice in direct interaction with uminho central services these interactions typically involve financial project management human resources scientific outputs preaward office and communication internationalization unit,"['behind', 'every', 'research', 'project', 'support', 'structure', 'that', 'keep', 'thing', 'running', 'smoothly', 'this', 'sense', 'researcher', 'can', 'rely', 'the', 'service', 'provided', 'the', 'administrative', 'unit', 'the', 'icvs', 'uaicvs', 'which', 'include', 'administrative', 'procedure', 'and', 'technical', 'advice', 'direct', 'interaction', 'with', 'uminho', 'central', 'service', 'these', 'interaction', 'typically', 'involve', 'financial', 'project', 'management', 'human', 'resource', 'scientific', 'output', 'preaward', 'office', 'and', 'communication', 'internationalization', 'unit']","['behind', 'every', 'research', 'project', 'support', 'structure', 'keep', 'thing', 'running', 'smoothly', 'sense', 'researcher', 'rely', 'service', 'provided', 'administrative', 'unit', 'icvs', 'uaicvs', 'include', 'administrative', 'procedure', 'technical', 'advice', 'direct', 'interaction', 'uminho', 'central', 'service', 'interaction', 'typically', 'involve', 'financial', 'project', 'management', 'human', 'resource', 'scientific', 'output', 'preaward', 'office', 'communication', 'internationalization', 'unit']"
Administrative and Technical Units,"In addition, the Laboratory Unit and the Animal Facility Unit are available to support your work with a dedicated team that ensures the proper functioning, maintenance, and compliance of laboratory operations and animal experimentation areas. These units provide technical assistance, training, and guidance to help you meet all safety, ethical, and regulatory requirements.",in addition the laboratory unit and the animal facility unit are available to support your work with a dedicated team that ensures the proper functioning maintenance and compliance of laboratory operations and animal experimentation areas these units provide technical assistance training and guidance to help you meet all safety ethical and regulatory requirements,"['addition', 'the', 'laboratory', 'unit', 'and', 'the', 'animal', 'facility', 'unit', 'are', 'available', 'support', 'your', 'work', 'with', 'dedicated', 'team', 'that', 'ensures', 'the', 'proper', 'functioning', 'maintenance', 'and', 'compliance', 'laboratory', 'operation', 'and', 'animal', 'experimentation', 'area', 'these', 'unit', 'provide', 'technical', 'assistance', 'training', 'and', 'guidance', 'help', 'you', 'meet', 'all', 'safety', 'ethical', 'and', 'regulatory', 'requirement']","['addition', 'laboratory', 'unit', 'animal', 'facility', 'unit', 'available', 'support', 'work', 'dedicated', 'team', 'ensures', 'proper', 'functioning', 'maintenance', 'compliance', 'laboratory', 'operation', 'animal', 'experimentation', 'area', 'unit', 'provide', 'technical', 'assistance', 'training', 'guidance', 'help', 'meet', 'safety', 'ethical', 'regulatory', 'requirement']"
Administrative and Technical Units,Where to start: onboarding form What should I do on my first day?,where to start onboarding form what should i do on my first day,"['where', 'start', 'onboarding', 'form', 'what', 'should', 'first', 'day']","['start', 'onboarding', 'form', 'first', 'day']"
Administrative and Technical Units,"Upon your arrival at ICVS, you will be asked to complete an onboarding form tailored to your specific role, whether you are a student, staff member, research fellow, or researcher.",upon your arrival at icvs you will be asked to complete an onboarding form tailored to your specific role whether you are a student staff member research fellow or researcher,"['upon', 'your', 'arrival', 'icvs', 'you', 'will', 'asked', 'complete', 'onboarding', 'form', 'tailored', 'your', 'specific', 'role', 'whether', 'you', 'are', 'student', 'staff', 'member', 'research', 'fellow', 'researcher']","['upon', 'arrival', 'icvs', 'asked', 'complete', 'onboarding', 'form', 'tailored', 'specific', 'role', 'whether', 'student', 'staff', 'member', 'research', 'fellow', 'researcher']"
